toolName,category,url,contact,description,toolType,note,collaborators,public,obsolete,audience,codebase,publicCodebase,parentProject,image,component,legacyUrl
qHTS Data Browser,qhts data,http://qhts/ws/qhtsclient2.jnlp,Yuhong Wang,"This application provides access to all qHTS data. It includes a flexible query tool that allows you to combine searches across qHTS screens, validation runs, sample lists, and compound libraries. Chemical substructure and similarity searching abilities are also available. This tool also includes a qHTS spreadsheet for data browsing, visualization of titration curves, chemical structures, multi-channel and kinetic data.",java webstart app,,,no,No,"Informatician, Biologist, Chemist",http://qhts/ws/qhtsclient.jnlp,,qHTS,yes,QhtsDataBrowserComponent,
qHTS Heatmap Browser,qhts data,http://qhts/ws/qhts_heatmap.jnlp,Trung Nguyen,This heatmap tool provides rapid viewing of assay profiles on compounds. It has several features such as ability to sort heatmap by compound similarity and/or activity profiles of selected assays. Selecting individual hetamap cells provides compound structure and associated qHTS curves.,java webstart app,,,no,Yes,"Informatician, Biologist, Chemist",,,qHTS,yes,QhtsHeatmapBrowserComponent,
qHTS Plate Browser,qhts data,http://qhts/ws/plateclient2.jnlp,Yuhong Wang,"Tool to provide performance stats of qHTS screens' assay plates. This application allows you to query across any validation or primary screen runs. You can browse or export standard plate statistics, and there is a heatmap visualization to give summarized views of normalized and background-corrected qHTS data.",java webstart app,,,no,No,"Informatician, Biologist, Chemist",,,qHTS,yes,QhtsPlateBrowserComponent,
qHTS Sample Client,NCGC compounds,http://qhts/ws/ncgc_sample.jnlp,Yuhong Wang,This application provides access to all chemical structure info of NCGC sample collections.,java webstart app,,,no,No,"Informatician, Biologist, Chemist",,,qHTS,yes,QhtsSampleClientComponent,
qHTS CurveFit,qhts data,https://tripod.nih.gov/curvefit/ncgc_curvefit.jnlp,Yuhong Wang,This application is standalone curve fitting program usually for collaborators.,java webstart app,,,yes,No,"Informatician, Biologist, Chemist",https://tripod.nih.gov/curvefit/ncgc_curvefit.zip,yes,qHTS,yes,QhtsCurveFitComponent,https://tripod.nih.gov/curvefit
NCATSFind Excel,"qhts, chemistry",https://tripod.nih.gov/ncatsfind/ncats.xlam,Tyler Peryea,"Resolver and standardizer for names, structures, and chemical properties",Excel Plugin,,,no,No,"Informatician, Biologist, Chemist",https://github.com/ncats/NCATSFindExcel,no,,,,
Pharos,target,https://pharos.nih.gov,Trung Nguyen,Illuminating Druggable Genome browser of targets and associated information,"website, API",,"IDG, UNM",yes,,"Chemist, Biologist",,yes,,yes,,
Spotfire,various,,John Braisted,"Support for qhts and gene expression analysis, analysis templates, DB interface",,,,no,No,"Informatician, Biologist, Chemist",,no,Resources,,,
BARD,qhts,https://bard.nih.gov,"Noel Southall, John Braisted, Trung Nguyen",Bioassay Research Database: Better annotated MLSMR bioassay metadata and screening results,"website, API",,,yes,Yes,"Chemist, Biologist",https://github.com/ncats/bard,yes,,yes,,
StarDrop,chemistry,http://www.optibrium.com/stardrop/stardrop-features.php,Alexey Zakharov,Licensed software to build QSAR models,software,,,no,,"Chemist, Informatician",,no,Resources,,,
